CHV_FTPROD_MATRICULA;FLG_EMPREGADO;FLG_EVADIU;FLG_BOLSA_ESTUDO_NAO;FLG_BOLSA_ESTUDO_SIM;FLG_0_DISC;FLG_1_DISC;FLG_2_DISC;FLG_3_DISC;FLG_IDAP_ABAIXO;FLG_IDAP_ACIMA;PERC_FALTA_00;PERC_FALTA_10;PERC_FALTA_15;PERC_FALTA_20;PERC_FALTA_25;QTD_BOLETOS_0;QTD_BOLETOS_1;QTD_BOLETOS_2;QTD_BOLETOS_3
1122197511865TRANCADO;1;1;0;1;1,00;0;0;0;0;1;0;0;1;0;0;1;0;0;0
1122197511865TRANCADO;1;1;0;1;1,00;0;0;0;0;1;0;0;1;0;0;1;0;0;0
1122197511865TRANCADO;1;1;0;1;1,00;0;0;0;0;1;0;0;1;0;0;1;0;0;0
11227749292MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
11232749292MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1123637112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1123637112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1123637112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
11237749292MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1125221449323EVADIDO;0;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
112620869321MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1126211399298MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1127011079340MATRICULADO;1;0;0;1;0,00;0;0;1;0;1;1;0;0;0;0;1;0;0;0
11274610511828CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
11274610511828CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
11274610511828CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
1127911439364DESISTENTE;0;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1128988911822CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
113028679368MATRICULADO;0;0;0;1;0,00;0;1;0;0;1;1;0;0;0;0;1;0;0;0
1130321159372MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
11304113911992CONCLUINTE;0;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
11304113911992CONCLUINTE;0;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
11304113911992CONCLUINTE;0;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
